Organization,Address,Closed deals,Open deals
La Salle Mollerussa,"Carrer Ferrer i Busquets, 17, 25230 Mollerussa, Lleida",2,1
Sistemes Linux Acadèmia,"Carrer de Joan Fuster i Ortells, 2, 17310 Lloret de Mar,",1,0
Juan Carlos Rojas Arce,,1,0
CEIP Pinoduero,"Calle Pablo VI, 5, 47320 Tudela de Duero, Valladolid",0,2
Terraferma,"Calle Lleida, 270, 25110 Alpicat, Lleida",1,0
Arabell,"N-240, 101, 25080 Lleida",1,0
Escola Sant Josep de Calassanç,"Escola Sant Josep de Calassanç, Carrer de les Borges Blanques, Terrassa, Spain",1,0
CRP Trujillo,,1,0
Excellent Code Academy,,1,0
Escola Arenal de Llevant,"Escola L'Arenal de Llevant, Carrer de Bac de Roda, Barcelona, Spain",1,0
Escola Grèvol,"Provençals, 9, 08019 Barcelona",1,0
Escola Sant Salvador,"Avinguda de Sant Salvador, 13, 43130, Tarragona",1,1
Escola Joviat,"Muralla Sant Francesc, 39 08241 MANRESA (Barcelona)",0,1
Maristes Valldemia,"Carrer de la Riera, 122 - 124, 08302 Mataró, Barcelona, Spain",1,0
Aurelie Zilber,"Carrer la Marinada, 49, Gavà, Spain",1,0
Escola La Garalda,"CEIP La Garalda, Pallejà, Spain",2,0
Ichuperipecias,,1,0
Escola Salvador Espriu,"Escola Pública Salvador Espriu, Carrer de Sant Joan, Sant Feliu de Llobregat, Spain",2,0
Inforensino,"Navegadores Braga, Braga, Portugal",1,0
The Valley,"Sardenya, 229 4º 08013 Barcelona",1,0
AMPA Escola de Collsuspina,"C. VERGE DE MONTSERRAT, 3-5 08178 COLLSUSPINA,  BARCELONA",1,1
COLEGIO PÚBLICO RIOTURBIO,"CP RIOTURBIO, Returbiu, Spain",2,0
Escola Lluís Vives,"Carrer de Canalejas, 107, Barcelona, Spain",1,0
Daniel Domènech,,1,0
CRIE Cervera de Pisuerga,"CRIE Cervera de Pisuerga, Felipe Calvo, Cervera de Pisuerga, Spain",4,0
Colegio Estudio,"Calle Jimena Menéndez Pidal, 11, 28023 Madrid, Spain",0,1
Colegio Santa María del Pilar,"Calle de los Reyes Magos, 3, Madrid, Spain",0,1
Colegio Base,"Calle del Camino Ancho, 10, Alcobendas, Spain",0,1
Colegio Mirabal,"Calle del Monte Almenara, 28660 Boadilla del Monte, Spain",0,1
Colegio Agustiniano,"Calle Pez Austral, 13 b, Madrid, Spain",0,1
Colegio Montfort,"Avenida de la Constitución, 28890 Loeches, Spain",0,1
Colegio Ramón y Cajal,"Calle de Arturo Soria, 206, 28043 Madrid, Spain",0,1
Colegio Nuestra Señora Santa María,"Ronda de Sobradiel, 80, 28043 Madrid, Spain",1,1
Colegio Internacional Nuevo Centro,"Carretera de Carabanchel a Villaverde, Km 0,5, Madrid, Spain",0,1
Colegio Patrocinio de San José,"Calle del General Moscardó, 24, Madrid, Spain",0,1
Colegio Fuentelarreyna,"Calle de Ramón Gómez de la Serna, 24, Madrid, Spain",0,1
Colegio Parque,"Calle Piamonte, 19, Parquelagos, Madrid, Spain",0,1
Escola Sant Felip Neri,"Escola Sant Felip Neri, Plaça de Sant Felip Neri, Barcelona, Spain",1,0
Robotilandia,"plaza san josé de manyanet, badajoz",1,0
Escola Gornal,"Col·legi Públic Gornal, L'Hospitalet de Llobregat, Spain",0,1
Ajuntament de Sallent,"Ajuntament De Sallent, Barcelona, Spain",1,0
Reial Monestir Santa Isabel,"Carrer de Rocabertí, 13, Barcelona, Spain",2,0
Santa Catalina de Salamanca,,1,0
CEIP Almanzor Candeleda,"Calle de las Escuelas, 1, 05480 Candeleda, Spain",1,1
Colegio Cristo Rey Escolapios Emaús,"Colegio Cristo Rey Escolapios, Zaragoza, Spain",1,0
Creu Roja Barcelonès Nord,"Creu Roja Barcelonès Nord, Avinguda d'Alfons XIII, Badalona, Spain",1,0
CP Miguel Hernández de Crevillent,"Colegio Público Miguel Hernández, Crevillent, Spain",0,1
Federació d'Ateneus de Catalunya,"Federació d'Ateneus de Catalunya, Barcelona, Spain",1,0
Laura Prat i Pous,,1,0
Ritmic BCN,"RITMIC BCN, Carrer de Vilamarí, Barcelona, Spain",1,0
CEIP Carmen Laforet,"Calle de Omega, 54, Madrid, Spain",0,1
Ramón María del Valle Inclán,"Calle Alconera, 1, 28037 Madrid, Spain",1,0
Colegio Montegrande A Coruña,,1,0
CPR Nijar Norte,,0,1
Escola Cultural Artigues,"Carrer de Pi i Gibert, 29-31, Badalona, Spain",0,1
Mare de Déu del Remei,"Escola Pública Mare de Déu del Remei, Carrer les Rodes, Alcover, Spain",1,0
Club Deportivo Canaima,,1,0
CEIP San Onofre,"Carrer Trafalgar, 36, 46930 Quart de Poblet, Valencian Community, Spain",0,1
Instituto Conde Diego Porcelos,"Instituto Conde Diego Porcelos, Calle Eloy García de Quevedo, Burgos, Spain",1,0
SX Informàtica,"SXInformatica, Carrer Sòria, Cervera, Spain",1,0
Educaviajes,"Parque Tecnológico de Andalucía, Calle de Marie Curie, Málaga, Spain",0,1
CEIP Concha Espina,"Calle Gerardo Diego, 6, Madrid, Spain",0,1
CEIP L'Urgell Eivissa,"C.P. L'Urgell, Avinguda del Diputat Josep Ribas, Sant Josep de sa Talaia, Spain",1,0
CEIP Pou de la Muntanya,"Col·legi Públic Pou de la Muntanya, Dénia, Spain",1,1
Escola El Viver,"Escola El Viver, Carrer Font, Montcada i Reixac, Spain",1,1
Antonio Ballester Martínez,"Calle Gadea, 12, Alicante, Spain",2,0
English Connection Las Rosas,"Calle de Suecia, 20, Madrid, Spain",0,1
Centro de Profesores de Cáceres,,1,0
Escuela Marcais Alicante,"Calle Alicante, 25, Ibi, Spain",0,1
CEIP Miguel Hernández Laguna de Duero,"Av. de la Libertad, 32, Laguna de Duero, Spain",3,1
CEIP Solar del Cid Burgos,"Calle Enrique III, 10, Burgos, Spain",1,1
Ana Salmeron Baños,,2,1
Anne Sullivan International School Barcelona,,1,0
Delfín Rodríguez Alonso,"Carretera Medina de Rioseco, 8, Toro, Spain",1,0
Control Play Sports,"Control Play Sports, Carrer de Sant Miquel, Sant Vicenç dels Horts, Spain",0,1
Andrea Segovia,,0,1
The Green Monkey,"Calle María Moliner, 5, San Sebastián de los Reyes, Spain",1,0
OFIDECO MATERIAL ESCOLAR SLU,,0,1
Engineered Fire Piping,,1,0
Future Kids - English Connection,,0,1
IES Moratalaz,"Calle del Corregidor Diego de Valderrábano, 35, 28030 Madrid, Spain",0,1
Marcos Blanco Galán,"Calle Jerusalén, 8, Cáceres, Spain",1,0
Ateneu Igualadí,"Carrer de Sant Pau, 9, Igualada, Spain",0,1
IES Las Encinas,"Instituto de Educación Secundaria las Encinas, Calle García Lorca, Valencina de la Concepción, Spain",0,1
FEDAC Sant Vicenç,"FEDAC Sant Vicenç, Carrer del Doctor Trias, Sant Vicenç de Castellet, Spain",1,1
Particular,,1,0
Mireia Centre Est. Montgat,,1,0
Escola Tabor,,1,0
CEIP Pere Anton,,1,0
FEDAC St Narcís,,1,0
IES Maremar,,1,0
La Salle La Seu,,1,0
Connect Catalyst Inc,,0,1
Ins de Cornellà,,1,0
Inst. Cristòfol Despuig,,1,0
Ins Can Mas Ripollet,,1,0
Escolàpies Masnou,,1,0
Ramon Pont,,1,0
Ins Jonqueres,"Institut Jonqueres, Carrer de Somport, Sabadell, Spain",1,0
Frederic Mistral Tècnic Eulàlia,"Pere II de Montcada, 8 · 08034 Barcelona",1,1
Escola Tàber,,1,0
Smoothie Innovators,,1,0
Oracle,,1,0
Fundació FCB,,1,0
Gravi,,1,0
Ins Vila de Gràcia,,1,0
Our Dream School,,1,0
Sant Antoni Maria Claret Cornellà,,1,0
St. Peter's,,1,0
Salesians Mataró,"Salesians, Mataró, Spain",0,1
Institut Pineda de Mar,,1,0
Padre Damián Sagrados Corazones,,1,0
Ins. Bernat Metge,"Institut Bernat Metge, Carrer de Menorca, Barcelona, Spain",1,0
Jesús Salvador,,1,0
Ins. Francesc Macià,,1,0
Vázquez Montalban,,1,0
Pntarei Sardegna,,1,0
Fundació El Llindar,,1,0
Escola Jacint Verdager,,1,0
Betània Patmos,,1,0
Escola l'Alzina M. de Rei,"Escola Pública L'Alzina, Carrer Puigcerdà, Molins de Rei, Spain",0,1
Ins. Torrent de les Bruixes,,1,0
DC Digital Camp,,1,0
Escola Mare de Déu de Núria,,1,0
INS Jaume Balmes,,1,0
Ins La Guineueta,,1,0
La Salle,,1,0
INS Oriol Martorell,,1,0
Cor de Maria Sabastida,"Cor de Maria Sabastida, Carrer de Sabastida, Barcelona, Spain",1,0
Escola Sagrats Cors,,1,0
INS Ramon de la Torre,"Institut Públic Ramón De La Torre, Camí del Moro, Torredembarra, Spain",1,0
Escola Terra Alta,,1,0
Escola Marià Fortuny,,1,0
INS Juan Manuel Zafra,"Institut Juan Manuel Zafra, Carrer de Rogent, Barcelona, Spain",1,0
INS Terres de Ponent,,1,0
Escola Creu Alta,"Escola Creu Alta, Carrer Pi i Margall, Sabadell, Spain",1,0
INS Mont Pedrós,,1,0
Colònia Güell,,1,0
INS Torras i BAges,,1,0
Ins Camí de Mar Calafell,,1,0
Vilamajor,,1,0
Escola Avenç,"Escola Avenç, Camí del Crist Treballador, Sant Cugat del Vallès, Spain",1,0
INS La Mar de la Frau,,1,0
Escola Ponent Granollers,,1,0
Educaires,,1,0
UPC,,4,0
L'olibera Cabrils,,0,1
ICE,,1,0
Cor de Maria Sant Andreu de la Barca,,1,0
INS Manresa SIS,"Carrer Pare Ignasi Puig, Manresa, Spain",0,1
Escola Joaquim Abril,"Joaquim Abril, Carrer Escoles, Sant Fost de Campsentelles, Spain",1,0
Ies Sentmenat,,1,0
INS Pere Barnils,,1,0
INS Thos i Codina,,0,1
Minyons d'Urgell,,1,0
Escola Fort Pienc,,1,0
Doctor Alb,,1,0
Colegio Cervantes Tenerife,,1,0
The Lake Lab,,1,0
Universidad de Granada,"Universidad De Granada, Avenida Capitán Moreno, Granada, Spain",1,0
Vivències,"Carrer de la Constitució, 2, Sant Just Desvern, Spain",1,2
Escola Enric Casassas,"Escola Pública Enric Casassas, Carrer de Llobet, Sabadell, Spain",0,1
Colegio Nuestra Señora de la Candelaria,"Calle de Juan Sebastián Elcano, 7, Zamora, Spain",1,0
Ateneu Instructiu,"Ateneu Instructiu, Carrer de Francesc Macià, Sant Joan Despí, Spain",3,0
Escola Mare de Déu de Núria Barcelona,"Escola Mare de Déu de Núria (EMDN), Carrer de Mallorca, Barcelona, Spain",2,0
Altivasoft,"Altivasoft S.L, Calle de Marie Curie, Málaga, Spain",0,1
Ocio Alcaria,"Avenida Isla Mayor, 16, La Puebla del Río, Spain",0,1
Escola Mas Boadella,"Col·legi Públic Mas Boadella, Carrer de Viena, Sabadell, Spain",1,1
Colegio Casa de la Virgen,"Calle Virgen del Val, 1, Madrid, Spain",2,0
American School of Las Palmas,"Carretera de los Hoyos, Km. 1,7, 35017 Las Palmas de Gran Canaria, Las Palmas",1,0
PC Box Barakaldo,,1,0
Centro autismo,,0,1
Ocio Alcaria,,1,0
Escuela Juneco,,0,1
Col·legi Balaguer,"Escola Balaguer, Avinguda Nord, L'Hospitalet, Spain",2,1
Escola L'Oreig,"L'Oreig, Ronda Montmany, Fontpineda, Spain",1,0
Robot School,"Robot School, Plaza Tirso de Molina, Segovia, Spain",1,0
Academia Responsabilidad Social,,0,1
Col·legi Montserrat Cerdanyola,"Col·legi Montserrat, Avinguda de Sant Iscle, Cerdanyola del Vallès, Spain",1,0
Colegio BV María Irlandesas,"Colegio B.V María Irlandesas, Santsoena Auzoa, Leioa, Vizcaya, Spain",0,1
Xavi Zurita,,1,0
Coder Camp,"Calle Avelino Gutiérrez, Santander, Spain",1,0
David Ferrero Peón,,1,0
Francisco Barrera,,1,0
Premier Education,"Muelle de Poniente, Alicante, Spain",0,1
Ofinet,,0,1
Formanovus Servicios Educativos,"PL. DE LOS ROSALES, 12. 19171, CABANILLAS DEL CAMPO, GUADALAJARA",1,1
Carlos de la Morena,,1,0
Col·legi Amor de Dios,"Col·legi Amor de Dios, Carrer del Teide, Barcelona, Spain",0,1
CEIP Arturo Duperier Ávila,"Avenida de la Juventud, 10, Ávila, Spain",0,1
CEIP Moreno Espinosa - Cebreros,,0,1
CEIP Comuneros de Castilla - Avila,,0,1
CEIP Rio Arlanzon Burgos,,0,1
CEIP Santa Cecilia Espinosa de los Monteros,,0,1
CEIP Pons Sorolla Lerma,,0,1
CRA La Demanda Huerta del Rey,,0,1
CEIP Diego Marín Peñaranda de Duero,,0,1
CEIP Saturnino Calleja Quintanadueñas,,0,1
CEIP Santiago Apostol Villadangos del Paramo,,0,1
CEIP Santa Barbara Bembibre,,0,1
CRA Los Tres Valles Valdevimbre,,0,1
CEIP Castilla y León Aguilar de Campoo,"Paseo el Soto, 17, 34800 Aguilar de Campoo, Spain",0,1
CEIP Nuestra Señora de la Piedad Herrera de Pisuerga,,0,1
CEIP Santa Catalina Salamanca,,0,1
CEIP Cardenal Cisneros Boceguillas,,0,1
CEIP Arcipreste de Hita El Espinar,"Avenida de Castilla y León, 41, 40400 El Espinar, Spain",1,1
CRA Campos Castellanos Cantimpalos,,0,1
CEIP Infantes de Lara Soria,,0,1
CEIP Gerardo Diego Golmayo,,0,1
CEIP Maria Teresa Iñigo de Toro Valladolid,,0,1
CRA Campos de Castilla Becilla de Valderaduey,"Calle Escuelas, 2, 47670 Becilla de Valderaduey, Spain",0,1
Village Niu,,0,1
Colegio Presentación Baza,,0,1
Club Fitness DIR,,1,0
Eder Castañeda,,6,0
Institut Mediterrània Masnou,"Institut Mediterrania, Carrer Rosa Sensat, El Masnou, Spain",1,0
Laude Lady Elisabeth,"Laude Lady Elizabeth Senior School, Calle Benisa, Llíber, Spain",1,0
Ibiconta,,0,1
Escola Utmar,"Escola Utmar, Carrer del Molí, Esplugues de Llobregat, Spain",3,1
Colegio Santísima Trinidad Salamanca,,0,1
Language 4 You,"Calle Acera del Darro, 20, Granada, Spain",0,1
Parvulari Carles Riba,,1,0
Grupo incrementum,"Camí Salard 47, 07008 – Palma",0,1
Escola Joan Marquès i Casals,"Escola Public Joan Marqués I Casals, Avinguda del Vallès, Terrassa, Spain",1,0
Col·legi Sant Josep Sant Hilari,"Col.legi Sant Josep, Carrer Sant Benet, Sant Hilari Sacalm, Spain",1,0
Escola Lumen,"Escola Lumen, carrer de Provença, Terrassa, Spain",2,0
Colegio San Gregorio Aguilar de Campoo,"Paseo el Soto, 2, Aguilar de Campoo, Spain",0,1
Marti Sorolla Cooperativa Valenciana,,0,1
aPortada,,1,0
The New Kids Club,"The New Kids Club Valdepeñas, Calle Torrecilla, Valdepeñas DO, Spain",0,2
Escola Ferran Sunyer,"Carrer de Viladomat, 2, 08015 Barcelona",1,0
Bon Salvador,"Colegio Bon Salvador, Carrer d'Armenteres, Sant Feliu de Llobregat, Spain",0,1
Colegio Alameda,,0,1
Colegio Arcángel Rafael,,0,2
Colegio Quercus,"Calle Valle Inclán, 12, Boadilla del Monte, Spain",0,1
American School of Barcelona,"American School of Barcelona, Carrer de Jaume Balmes, Esplugues de Llobregat, Spain",6,2
Vedruna Villaverde,"Calle Santa Joaquina de Vedruna, 3, Madrid, Spain",0,1
Jesús Maria Sant Andreu,"Col·legi Jesús Maria, Avinguda Meridiana, Barcelona, Spain",1,0
Saint George School,,0,2
Escola Mestre Pla,"Carrer de Josep Carner, 2, 08211 Castellar del Vallès, Barcelona",1,1
Cooperativa Juan Ramon Jimenez Las Palmas,"Carretera de los Hoyos, 160, 35017 Los Hoyos, Las Palmas, Spain",1,1
Ajuntament Castellar del Vallès,,2,1
The Password,"Avenida Trece de Octubre, 11, 30710 Los Alcázares, Múrcia, Spain",0,1
NeuroDei,,0,1
Nakama STEAM college,"Paseo de General Davila 302 bajo izquierda, 39007, Santander",1,0
CEIP Federico García Lorca,"Carrer Gustavo Adolfo Bécquer, 10, Mollet del Vallès, Spain",2,0
IDevelop,,0,1
CEIP Mirasierra,"Calle de la Masó, 22, 28034, Madrid, Spain",1,0
Can Puigoriol Xic,,1,0
Colegio Legamar,"Ctra. Leganés-Fuenlabrada  Km. 1,5 28914 Leganés - Madrid",1,0
Academia Formauno,"Av. del Arlanzón, 40, 09004 Burgos, Spain",0,1
SAFA Horta,"Col·legi Sagrada Família-Horta, Carrer de Peris i Mencheta, Barcelona, Spain",1,0
English Connection Dos Hermanas,"Avenida los Pirralos, 50, 41701 Dos Hermanas, Spain",2,0
GRUPO SEK,,3,0
Juan Bautista Zabala Eskola,"Juan Bautista Zabala Kalea, 3, 48991 Getxo, Bizkaia, Spain",1,0
Escola Àngel Guimerà,"Escola Pública Àngel Guimerà, Carrer de Bonaventura Pedemonte, Sant Andreu de la Barca, Spain",3,0
Escola Pau Romeva,"Escola Pau Romeva, Carrer del Pisuerga, Barcelona, Spain",0,1
YoMo,,1,0
CEIP Jose Hierro Rivas,"Av. de José Hierro, 86, 28521 Rivas-Vaciamadrid, Madrid, Madrid, Spain",0,1
CEIP Federico García Lorca Móstoles,"Calle de Francisco Javier Sauquillo, 26, 28932 Móstoles, Madrid, Spain",1,0
Martha Colorado Escobar,,0,1
CEMI Miranda de Ebro,,0,1
IPSIC,,0,1
ACADE,,0,1
32 network,"Vinalab, Carrer de Galícia, Vinaròs, Spain",1,0
Universidad Abad Oliva CEU - Madrid,,0,1
DEAC Museo Casa Botines,,0,1
AFS Informatica,"I, Calle Verdemar, 2, 29740 Torre del Mar, Málaga",2,0
YOUNGSTARS ESPAÑA,"C/ Sant Agustí 8 Planta baja, 17003 Girona  Spain",0,1
Punto Uparte,,0,1
Extremeña de Educación SLL,"Calle Nueva Creación, 7, 06006 Badajoz, Spain",1,0
IE Gran Capità,"Gran Capità, Carrer Josep Maria Trias de Bes, Sant Joan Despí, Spain",1,0
Colegio Brains Alcobendas,"Calle de la Salvia, 48, 28109 Alcobendas, Spain",1,0
CEIP Hernán Cortés Talavera de la Reina,,0,1
Aprende Ingles Jugando Nerja,,0,1
Escuela infantil El Patito Feo,"Calle Cañada, 5, 28970 Humanes de Madrid, España",1,0
Colegio Villa del Río,,0,1
English with Ashley,"Calle Francisco Pizarro, 7, 10200 Trujillo, Spain",0,1
Academia Jorla,"Calle Félix Serrano del Real, 1, Local 2, 28600 Navalcarnero, Madrid",0,1
CP Cristo de la Paz Alicante,"Av. la Rambla, 1, 03550 San Juan de Alicante, Alicante, Spain",1,1
Institut Santa Eulàlia,"Avinguda de Santa Eulàlia, 276, 08223 Terrassa, Barcelona, Spain",0,1
Hostesa,"Hostesa, Carrer de Còrsega, Barcelona, Spain",1,0
Colegio Nuestra Señora de la Consolación,"Calle Virgen de Lidón, 49, Castellón de la Plana, Spain",0,1
Escola Baldiri Reixach,"Carrer de Bilbao, 13, Sant Feliu de Guíxols, Spain",1,1
COLEGIO DE FOMENTO EL PRADO,"Calle Costa Brava, 4, 28034 Madrid, Spain",0,1
CEIP Rodriguez de Celis,"C/ La Serna, 29 39211 Paracuelles",1,0
Colegio Amor Misericordioso Colloto,Moreo s/n 33010 Colloto Asturias,0,1
Colegio Vedruna Mirasierra,"Travesía Costa Brava, 3, 28034 Madrid, Spain",0,1
Colegio Gredos,,0,1
Natalia Lupiani,C/Ramón y Cajal n°8 18400 Órgiva,0,1
Escola Castell d'Òdena,"Carrer Verdaguer, 0, 08711 Òdena, Barcelona",1,1
Escola Les Clisques,"Colegio Público les Clisques Zer Cap de Creus, Carrer de la Lloia, El Port de la Selva, Spain",1,1
Pangea The Travel Store,,1,0
Fundació Tr@ms,"Fundació Privada Tr@ms, Rambla Nova, Mollet del Vallès, Spain",0,1
Centre d'Estudis Mireia,"Carrer Donya Amadea, 2, 08390 Montgat, Barcelona, Spain",0,1
Escola Joan XXIII Hostalets de Balenyà,"Carrer de les Escoles, 08554 Els Hostalets de Balenyà, Barcelona",0,1
Escola Pública Tomàs Raguer,"Avinguda del Comte Guifré, s/n, 17500 Ripoll, Girona",0,1
Col·legi Públic Joan Maragall Ripoll,"Carretera de Barcelona, 6-8, 17500 Ripoll, Girona, Spain",0,1
Escola Pública Rocafonda,"Carrer Tàrrega, 41, 08304 Mataró, Barcelona, Spain",0,1
Col·legi Públic Camí del Mig,"Camí del Mig, 1, 08302 Mataró, Barcelona, Spain",0,1
Escola Bosc de la Pabòrdia,"Colegio Público El Bosc de la Pabordia, Carrer Riera de Mus, Girona, Spain",1,0
Escola Mare de Déu de Montserrat Castellbisbal,"Avinguda de Pau Casals, 20, 08755 Castellbisbal, Spain",1,1
Attendis Adharaz,"Calle Periodista Ramón Resa, 10, 41012 Sevilla, Spain",0,1
Escola Miralletes,"Escola Miralletes, Carrer de la Indústria, Barcelona, Spain",1,0
Escola Pia Sabadell,"Carrer de l'Escola Pia, 92, Sabadell, Spain",0,1
Fundaland,"Calle del Monasterio de Las Huelgas, 15, 28049 Madrid, Spain",0,1
Academia Albacete,,0,1
Colegio Tajamar,,0,1
Colegio Montealto,,0,1
Colegio Senara,,0,1
Colegio Altozano,,0,1
Colegio de Fomento Las Tablas Valverde,,1,1
Escola Sant Domènec,"Carrer Montanyans, 4, 08730 La Ràpita, Spain",1,1
Colegio San Pelayo,"Ongarai Kalea, 13, 48260 Ermua, Bizkaia, Spain",1,0
CP Mejico Madrid,,0,1
Centre cívic Onyar - Ajuntament de Girona,"Plaça del Vi, 1, 17004 Girona, Spain",1,1
Colegio Trinitarios de Córdova,"Plaza Cristo de Gracia, 5, 14002 Córdoba",1,0
Escola Les Corts,"Escola Les Corts, Carrer d'Eugeni d'Ors, Barcelona, Spain",1,0
Passatemps Projectes Educatius S.L.,"Avinguda d'Alacant, 10, Gandia, Spain",0,1
Escola Lys,"Carrer de Puig-reig, 9, 08006 Barcelona, Spain",0,1
INS Ciutat de Balaguer,"Institut Ciutat de Balaguer, Balaguer, Spain",2,0
Juan Ángel Larumbe,"Calle real 61, 3 A, 31110 Noain, Navarra",1,1
Ayuntamiento de Ronda,"Calle Virgen de Fátima, 0, 29400 Ronda, Málaga",1,0
El mundo de la ciencia,,0,1
Ana Cano,,0,1
Vedruna l'Espluga de Francolí,"Vedruna Espluga de Francolí, Calle Pompeu Fabra, L'Espluga de Francolí, Spain",1,1
Attendis Guadalimar,"Ctra. Córdoba, 23006 Jaén",0,1
Escuelas Católicas Madrid,"c/ Hacienda de Pavones, 5-1º",0,1
Academia Gallego,"Calle Maestra Balbina Cerdeño, 4, Puente Genil, Spain",0,1
Santa María del Pilar (Marianistas Zaragoza),"Reyes de Aragón, 5 - 50021 Zaragoza",1,0
Escola Santa Anna,"Carrer de Bailèn, 53, Barcelona, Spain",0,1
WonderfunBCN,"Pare Miquel de Sarrià 7, bajos, 08034 Barcelona",0,1
Aula&English,"Plaza del Zodíaco, Puerto de Santa María, Cadiz",1,1
SCIENCE GYM,"Calle Calvario 45, Almería CP 04008, Almería",1,0
St. Nicholas School Barcelona,"Carrer de Provença, 283, Barcelona, Spain",0,1
IES Ferran Tallada,"Carrer de la Gran Vista, 54, 08032 Barcelona, Spain",0,1
Despierta Valencia,"Programa Despierta Valencia, C/ L´escultor José Capuz, València, Spain",1,0
Educa 10,"Calle Sanchis Tarazona, 31, la Vall d'Uixó, Spain",1,0
Novaschool Medina Elvira,"Urbanización Medina Elvira Golf, Carretera de Caparacena, S/N, 18220 Atarfe, Granada",0,1
New Digital Skills,"Parque das Nações, Lisbon, Portugal",0,1
Universidad de Jaén,"Campus Las Lagunillas, s/n, 23071 Jaén",0,1
Colegio Miguel Hernández de Málaga,"Av. Inmaculada Concepción, 138, 29631 Arroyo de La Miel, Málaga",0,1
Ayuntamiento de Arona,"Ayuntamiento de Arona, Plaza Cristo de la Salud, Arona, Spain",1,0
Escola Font del Roure,"Calle Leonie Mirapeix, 1, 08783 Masquefa, Barcelona",0,1
Avdos,"Calle Valencia, 6, Paterna, Spain",1,0
Vitelsa,"Carrer Botiguers, 5, Paterna, Spain",1,0
Mekabots,,1,0
Escola Forallac,"Carrer Miquel de Sarriera, 3, 17111 Vulpellac, Girona, Spain",0,1
Nevers Ikastetxea,"Nevers Ikastetxea, Bruno Mauricio Zabala Kalea, Durango, Spain",1,0
Totalkidz,"Total Fit, Carrer d'En Joan Lliteras, Manacor, Spain",1,0
Myland Asociacion Educativa,,0,1
Complubot,"Calle Luis Madrona, 16, Alcalá de Henares, Madrid, Spain",0,1
Escola Doctor Alberich i Casas,"Escola Doctor Alberich i Casas, Carrer de Cèlia Artiga Esplugas, Reus, Spain",0,1
Escola Joan Pelegrí,"Carrer del Consell de Cent, 14, Barcelona, Spain",0,1
Escola Pia Igualada,"Escola Pia, Plaça Castells, Igualada, Spain",1,0
Escola Vilagran,,0,1
CEIP Saltells,"Av. de Roma, 57, 08290 Cerdanyola del Vallès, Barcelona, Spain",1,0
CEIP El Mirador de San Javier,,1,1
Escola de Maçanet de la Selva,"Av. Bellavista, 17412, Maçanet de la Selva, Girona, Spain",0,1
Escola Guillem de Montgrí,"Carrer del Roser, 81-83, 17257 Torroella de Montgrí, Girona, Spain",1,0
Escola Pau Casals Vacarisses,"Carrer de Salvador Badia, 6, 08233 Vacarisses, Barcelona, Spain",0,1
Escola Juncadella,"Carretera de les Escoles, 2, 17165 La Cellera de Ter, Girona, Spain",0,1
Petits l'Heura,"Travessera de Gràcia, 314, 08025 Barcelona, Spain",1,0
Colegio Felix Grande,"Calle Eladio Cabañero, s/n, 13700 Tomelloso, Ciudad Real",1,0
London School Burgos,,0,1
Escola Ramon Muntaner,"Escola Pública Ramon Muntaner, Carrer de l'Ermita de Bellvitge, L'Hospitalet de Llobregat, Spain",1,0
CEIP Ponce de León,,0,1
Colegio Monteolivo,,1,0
Escola Teresa Miquel i Pàmies,"Escola Teresa Miquel i Pàmies, Passeig de Misericòrdia, Reus, Spain",1,0
Balloon Face Art,"Calle Islas Canarias, 100, 28905 Getafe, Madrid, España",1,0
IES Mar de Alborán,"Calle Fuente de María Gil, 30, 29680 Estepona, Málaga, Spain",1,0
ICA Formación,"Interior 12, Rua Portela, 36205, Vigo",0,1
Escola Marta Mata El Vendrell,"Escola Marta Mata, Avinguda del Tancat de la Plana, El Vendrell, Spain",1,0
Escola Roc Alabern,"Escola Roc Alabern, Carrer de Mallorca, Terrassa, Spain",1,0
Nuestra Señora de la Paz,"Calle Chica, 15, 13210 Villarta de San Juan, Spain",1,0
English Connection Seseña,"Calle La Vega 36, Local 7. 45223 Seseña, Toledo",1,0
English Connection Navalcarnero,"Calle de la Constitución, 37, 28600 Navalcarnero, Madrid, Spain",1,0
Escuela Infantil Apapachos,,0,1
Universidad de Alicante,Carretera San Vicente del Raspeig s/n 03690 San Vicente del Raspeig - Alicante,1,0
CPI Plurilingüe O Cruce,"Centro Público Integrado O Cruce, Plaza del Campo da Feira, Cerceda, Spain",1,0
Javier Adan,,0,1
CEIP Beato Carmelo,,1,0
Centro de Iniciativas para la Cooperación Batá,Pasaje Escritor Narbona s/n 14011 Córdoba,0,1
Col·legi Mare de Déu de la Serra,"Avda. Nostra Senyora de Montserrat, 3-5 - 43400 MONTBLANC",1,0
Intecat,"Carrer del Sol 1, 2º - 6ª, Sabadell",0,1
mNACTEC,"Rambla d'Ègara, 270, 08221 Terrassa, Barcelona",0,1
SEK CATALUNYA,"Colegio Internacional SEK-Catalunya, Avinguda dels Tremolencs, La Garriga, Spain",0,2
Cultural Actex,"Cultural Actex S L, Calle Isla de la Palma, San Sebastián de los Reyes, Spain",2,0
LegaIntegra,,0,1
IES Alameda,,0,1
La Salle València-Palma,,1,0
Colegio Blasco Ibáñez,,0,1
PEAC Madrid Capital,"I.E.S. Juan de La Cierva, Calle la Caoba, 1, 28005 Madrid, Spain",1,0
