Organization,Address,Closed deals,Open deals
FUNDACIÓN RAFAEL DEL PINO,"CALLE RAFAEL CALVO 39, MADRID",3,0
ROBOTIX Valencia INGENIOOS ACTIVE LEARNING S.L.,"CALLE RUGAT 9 BAJO DERECHA, VALENCIA",5,1
ESCOLA PIA MOIÀ,"CARRER DE SANT SEBASTIÀ, MOIÀ",1,1
ASOCIACION CULTURAL DEL COLEGIO ALEMAN SAN ALBERTO MAGNO,"JACINT ESTEVE I FONTANET 105, ESPLUGUES DE LLOBREGAT",2,2
FUNDACIÓN PRIVADA BENJAMIN FRANKLIN,"MARTORELL I PEÑA 9, BARCELONA",2,1
ESCOLA LA PARELLADA,"C/ JOSEP MARIA, S/N, SANTA OLIVA",1,1
FUNDACIÓ JESUÏTES EDUCACIÓ,"C/ ROGER DE LLURIA, 15, BARCELONA",2,1
COL·LEGI LESTONNAC,"CARRER PAU CLARIS 131, BARCELONA",0,1
ESCOLA ANTONIA SIMO I ARNO,"TOSSAL DE LES CREUS S/N, ALMACELLES",2,0
INSTITUT JAUME I SALOU,"C/ ADVOCAT GALLEGO S/N, SALOU",1,1
FEDAC HORTA,"C/ CAMPOAMOR, 49, BARCELONA",2,0
FPE VEDRUNA BARCELONA (IMMACULADA),"C/ DOS DE MAIG,  247-251, BARCELONA",1,1
FASISMAR S.L.,"C/ ROCA I ROCA, 131, TERRASSA",1,0
FUNDACIO ESCOLA MOWGLI,"PASSEIG VERDAGUER, 134, IGUALADA",2,0
ESCOLA PETIT ESTEL - LA NOVA SL,"C/ PUIG NOVELL, 18-33, TERRASSA",2,0
Col·legi Xaloc,"Col·legi Xaloc, Carrer Can Tries, Barcelona, Spain",1,0
FEDAC MONISTROL DE MONTSERRAT,"C/ GERMANS DE LA SALLE S/N, MONISTROL DE MONTSERRAT",1,0
FUNDACIÓ JESUÏTES EDUCACIO - SARRIÀ,"CARRER CARRASCO I FORMIGUERA 32, BARCELONA",4,1
ROBOTIX Jaén DEPORSA ACTIVIDADES EDUCATIVAS Y DEPORTIVAS,"CALLE JUAN XXIII, S/N BL2 BJ, TORREDELCAMPO",9,2
ROBOTIX Extremadura,"ED BADAJOZ SIGLO XXI , PASEO FLUVIAL S/N, BADAJOZ",1,1
BRITISH COUNCIL SCHOOL,"C/ SOLANO, 5-7, POZUELO DE ALARCÓN",0,1
SAGRAT COR SARRIA,"C/ SAGRAT COR, 25, BARCELONA",7,4
INSTITUCIÓ CULTURAL CIC-Escola Thau Barcelona,"AVDA.ESPLUGUES, 49-53, BARCELONA",5,1
ROBOTIX Castellón MIGUEL CASTELLOTE FRANCO,"C/ LAGASCA, NUM. 12 3 B, CASTELLON",21,1
ROBOTIX ASTURIAS SL,"CAMINO DE LOS QUIÑONES, 130 CH 16, GIJON",19,1
ROBOTIX Galicia ACTIVIDADES EXTRAESCOLARES Y FORMATIVAS OCIO Y DEPORTE DE GALICIA S.L.,,7,3
ROBOTIX Huelva FUN ROBOTS,"Zona Residencial Río Gulf, 30, La Rábida, Spain",2,1
ROBOTIX PENEDES SL,"GENERALITAT, 12 2N 2A, VILAFRANCA DEL PENEDES",41,1
ROBOTIX León ABACUS LEÓN,,4,2
"INSTITUCIO FAMILIAR D'EDUCACIO, SA  (COL·LEGI LA FARGA)","CAMÍ SANT CUGAT PAPIOL, 34, MIRASOL",4,1
FUNDACIO PRIVADA SANT NICOLAU,"C/ JARDI, 72-80, SABADELL",0,1
FUNDACIÓ GAS NATURAL FENOSA,"PLAÇA DEL GAS, 8, SABADELL",1,0
ESCUELA LICEO EUROPEO,"CAMINO DEL SUR, 10-12, ALCOBENDAS",1,1
"SEK SANTA ISABEL, S.L","C/ SAN ILDEFONSO, 18, MADRID",2,2
"SEK CIUDALCAMPO, S.L.","PASEO DE LAS PERDICES, 2 URB. CIUDALCAMPO, SAN SEBASTIAN DE LOS REYE",3,1
"SEK ATLANTICO, S.L","C/ ILLA DE AROUSA, 4 BOA VISTA -  POIO, PONTEVEDRA",1,0
FUNDACION ESCUELA SUIZA DE BARCELONA,"C/ ALFONSO XII, 95, BARCELONA",2,2
ROBOTIX Murcia JESÚS HERRERA,"c/ MORUNOS 39, 1º A",4,2
La Salle Tarragona,"AV. DELS PAÏSOS CATALANS, S/N, TARRAGONA",0,1
ROBOTIX Canarias ABACO Y CALCULO MENTAL SL,"C/ JUAN HIDALGO, Nº 10, BAJO - D, LAS PALMAS DE GRAN CANARIA",17,1
COLEGIO DE FOMENTO ALDOVEA,"PS. DE ALCOBENDAS, 3, LA MORALEJA",1,0
"ESTUDIO AGORA, S.A.","C/ FERRER I GUARDIA S/N, SANT CUGAT DEL VALLÉS",2,0
Bell-Lloc del Pla,"Bell-lloc Del Pla, Carrer Can Pau Birol, Girona, Spain",7,1
FUNDACIÓ PRIVADA SCIENTIA,"C/ ARIBAU, 240 7 B, BARCELONA",3,0
THE BRITISH SCHOOL BARCELONA,"C/ GINESTA, 26, CASTELLDEFELS",2,2
AMPA SAGRADA FAMILIA DE SABADELL,"C/ DE LA INDUSTRIA, 9, SABADELL",1,2
INSTITUCIÓ FAMILIAR d´EDUCACIÓ SA COLEGIO LA VALL,"CR. SABADELL A BELLATERRA KM 4,6, BELLATERRA",2,0
Escola Vedruna Ripoll,"Vedruna Ripoll, Carrer de Berenguer el Vell, Ripoll, Spain",2,0
Institut El Suí,"c. Penyafort, s/n 08440 Cardedeu",2,0
Idneo,,1,0
Colegio de Fomento Tabladilla,"Colegio de Fomento Tabladilla, Seville, Spain",2,0
FUNDACIÓ JESUÏTES EDUCACIÓ - CASP,"Jesuïtes Casp. Sagrat Cor de Jesús, Carrer de Casp, Barcelona, Spain",5,0
Escola Maria Ossó,"Carrer Ramon de Dalmases, 2, Sitges, Spain",1,0
Escola Canigó l'Hospitalet,"Carrer Mossèn Lluís Pañella, L'Hospitalet de Llobregat, Spain",2,0
Ludoteca Arimel,,1,0
Col·legi Públic Menéndez Pidal,"Carrer del Pedraforca, 31, 08905 L'Hospitalet de Llobregat, Barcelona, Spain",1,0
Escola Andersen (Vic),"Avinguda d'Olímpia, s/n, 08500 Vic, Barcelona",1,0
Institut Cap de Llevant,,1,0
Acis Artur Martorell,"Plaça de Can Baró, 1-3, 08024 Barcelona, Spain",1,1
Escola Vedruna-Balaguer,"Carrer del Pare Sanahüja, 39, 25600 Balaguer, Lleida",1,0
SOS Informática Helmática,,1,1
Colegio Claret Madrid,"Calle del Corazón de María, 1, Madrid, Spain",0,1
Escola Esperança,"Carrer de Provença, 08914 Badalona, Barcelona",1,0
Escola Arrels,"Carrer del Cardenal Tedeschini, 76-80, 08027 Barcelona",1,0
CEE Concha Espina,"Rambla de Prim, 119, 08020 Barcelona, Spain",1,0
Institut CENDRASSOS,"Calle Arquitecte Pelai Martínez, 1, 17600 Figueras, Girona",2,0
CENTRE D'ESTUDIS MONTSENY-POBLENOU,"Carrer de Pallars, 410 08019 Barcelona",1,0
Col·legi John Talabot,"Carrer de les Escoles Pies, 136, 08017 Barcelona; INF C. Quatre Camins, 83",1,0
Col·legi Claret,"Col·legi Claret de Barcelona, Carrer de Sant Antoni Maria Claret, Barcelona, Spain",1,0
Col·legi Cultural,"Carrer de les Termes Romanes, 10, 08911 Badalona, Barcelona, Spain",1,0
Col·legi La Salle Girona,C/ Sant Joan Baptista La Salle 12 17002 Girona,3,0
Col·legi Sant Miquel,"Carrer del Rosselló, 175, 08036 Barcelona",1,0
Colegio SIL,"Col·legi SIL, Avinguda del Tibidabo, Barcelona, Spain",2,1
CREI EL GUARET,"Valls, Tarragona, Spain",1,0
Col·legi Dominiques de l'Ensenyament,"C/Mallorca, 349 C.P. 08013 Barcelona, CAT.",1,0
EASD Pau Gargallo,"Carrer de Molí de la Torre, 8, 08915 Badalona, Barcelona",1,0
Escola Canigó St. Just,"c. Canigó, 35 08960 Sant Just Desvern",6,1
Escola Colònia Güell,"Av. Lluís Companys, s/n, 08690 Santa Coloma de Cervelló, Barcelona",2,0
ESCOLA FANALS D'ARO,"Carrer de Josep Maria Vila, 7, 17250 Platja d'Aro, Girona",1,1
ESCOLA FOLCH I TORRES,"c. Wagner, 68-84 08917 Badalona",1,0
ESCOLA GARBÍ PERE VERGÉS,,1,0
Escola Gravi,"Avinguda de Vallcarca, 258, 08023 Barcelona",1,0
ESCOLA JACINT VERDAGUER,"c/ La Muralla, 1 08860 Castelldefels",1,0
Escola Joan Pelegrí,"Consell de Cent, 14 08014 Barcelona",2,0
Escola l'Horitzó,"Passeig de la Bonanova, 7 - 08022 BARCELONA",1,1
Escola La Farigola del Clot,"Carrer d' Hernán Cortés, 6, 08018 Barcelona",1,0
ESCOLA LA SÍNIA,,1,0
Escola Mare de déu del Roser,"Carrer del Consell de Cent, 214, 08011 Barcelona, Spain",1,0
Escola Marinada,"Passeig de la Carrerada, 58-60, Palau-solità i Plegamans, Spain",1,0
MOLINA - Centre d'ensenyament,"c/Lorena 61-63, 08042 Barcelona",1,1
Escola Paidos,Avinguda Girona 43-71   08272 Sant Fruitós de Bages,1,0
Escola Pau Vila,"Carrer Mas Lluí, 11, Sant Feliu de Llobregat, Spain",1,0
ESCOLA PEDRALTA,"17246 Santa Cristina d'Aro, Girona",1,0
ESCOLA PIA DE CALELLA - INFANTIL Y PRIMARIA,"Escola Pia Calella, Carrer de Jovara, Calella, Spain",1,0
Escola Poble-sec,"Passeig de l'Exposició, 1, 08004 Barcelona, Spain",1,0
Escola Projecte,"Av. del Tibidabo, 16, 08022 Barcelona",1,0
Col·legi RAMON PONT,"Carrer de Sant Tomàs, 40, 08222 Terrassa, Barcelona, Spain",2,0
ESCOLA REL,"Carrer de Montserrat de Casanovas, 44, 08032 Barcelona, Spain",1,0
Escola Segimon Comas,"Carrer del Mestre Quer, 11, 08580 Sant Quirze de Besora, Barcelona",1,0
Escola Vedruna-Tona,,0,1
Escola FEDAC MANRESA,,1,0
Escola FEDAC Sant Andreu,"FEDAC Sant Andreu, Carrer de Ramon Batlle, Barcelona, Spain",0,1
Institut de Premià de Mar,"Carrer Rafael de Casanova, Premià de Mar, Spain",1,0
INSTITUT ESCOLA RAMONA CALVET,"Carrer Rocacorba, 23-29, 08183 Castellterçol, Barcelona",1,0
INSTITUT ESCOLA SANT JORDI,"Carrer de Puig-reig, 0, 08670 Navas, Barcelona",1,0
Institut CAN PUIG,"Carrer Joan Maragall, s/n, 08810 Sant Pere de Ribes, Barcelona",1,0
Institut Eugeni d'Ors Vilafranca,"Avinguda de Tarragona, 86, 08720 Vilafranca del Penedès, Barcelona",1,0
Institut JAUME CALLÍS,"Avinguda d'Olímpia, 2, 08500 Vic, Barcelona, Spain",1,0
INSTITUT JAUME MIMÓ,"Carrer de la Serra de Galliners, s/n, 08290 Cerdanyola del Vallès, Barcelona",2,0
IES MARE DE DÉU DE LA MERCÈ,"Carrer dels Motors, 122 - 130, 08040 Barcelona",1,0
Institut MARTÍ L'HUMÀ,"Av. Dr. Folch, S/N, 43400 Montblanc, Tarragona",1,0
