FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE,CENTROCOSTE2,CENTROCOSTE3,Nom Cost Center,Nom Project
3/23/2018,705220,Inscripción ROBOTIX CM,12,"ESTUDIO AGORA, S.A.",403,1.00 ,25,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/23/2018,705220,Inscripción ROBOTIX CM,12,"ESTUDIO AGORA, S.A.",403,1.00 ,25,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/23/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",403,12.00 ,504,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
3/23/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",403,16.00 ,672,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/23/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",403,1.00 ,42,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/23/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",403,14.00 ,588,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
6/22/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",898,11.00 ,462,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
6/22/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",898,16.00 ,672,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
7/2/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",976,(11.00),-462,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
7/2/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",976,(16.00),-672,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
7/2/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",976,(10.00),-420,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
7/2/2018,705221,Formación ROBOTIX INFANTIL CM (1H),12,"ESTUDIO AGORA, S.A.",977,11.00 ,231,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
7/2/2018,705223,Formación ROBOTIX 1 CM (1H),12,"ESTUDIO AGORA, S.A.",977,16.00 ,336,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
7/2/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",977,10.00 ,210,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
