FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE3
11/27/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1788,11.00,605,14002
11/27/2018,705226,Formación ROBOTIX 2 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1788,18.00,1044,14002
11/27/2018,705237,Formación ROBOTIX 4 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1788,5.00,310,14002
12/28/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,2086,11.00,605,14002
12/28/2018,705226,Formación ROBOTIX 2 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,2086,18.00,1044,14002
12/28/2018,705237,Formación ROBOTIX 4 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,2086,5.00,310,14002
3/23/2018,705223,Formación ROBOTIX 1 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,401,12.00,504,14002
3/23/2018,705227,Formación ROBOTIX 3 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,401,9.00,378,14002
3/23/2018,705229,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,401,7.00,455,14002
4/23/2018,705205,Inscripción ROBOTIX Infantil,7,THE BRITISH SCHOOL BARCELONA,579,4.00,120,14002
4/23/2018,705220,Inscripción ROBOTIX CM,7,THE BRITISH SCHOOL BARCELONA,579,1.00,30,14002
4/23/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,579,12.00,696,14002
4/23/2018,705224,Formación ROBOTIX 1 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,579,12.00,732,14002
4/23/2018,705220,Inscripción ROBOTIX CM,7,THE BRITISH SCHOOL BARCELONA,579,1.00,30,14002
4/23/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,579,1.00,43.5,14002
10/26/2018,705220,Inscripción ROBOTIX CM,6,AMPA SAGRADA FAMILIA DE SABADELL,1591,34.00,850,14002
10/26/2018,705225,Formación ROBOTIX 2 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,1591,15.00,630,14002
10/26/2018,705236,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,1591,9.00,378,14002
10/26/2018,705242,Formación ROBOTIX 6 CM (2H),6,AMPA SAGRADA FAMILIA DE SABADELL,1591,10.00,650,14002
5/30/2018,705220,Inscripción ROBOTIX CM,7,THE BRITISH SCHOOL BARCELONA,785,1.00,30,14002
5/30/2018,705224,Formación ROBOTIX 1 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,785,1.00,45.75,14002
10/25/2018,705205,Inscripción ROBOTIX Infantil,7,THE BRITISH SCHOOL BARCELONA,1540,11.00,330,14002
10/25/2018,705220,Inscripción ROBOTIX CM,7,THE BRITISH SCHOOL BARCELONA,1540,23.00,690,14002
10/25/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1540,11.00,638,14002
10/25/2018,705226,Formación ROBOTIX 2 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1540,17.00,1037,14002
10/25/2018,705226,Formación ROBOTIX 2 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1540,1.00,45.75,14002
10/25/2018,705237,Formación ROBOTIX 4 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1540,5.00,325,14002
5/22/2018,705223,Formación ROBOTIX 1 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,719,12.00,504,14002
5/22/2018,705227,Formación ROBOTIX 3 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,719,9.00,378,14002
5/22/2018,705229,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,719,6.00,390,14002
5/22/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,720,13.00,754,14002
5/22/2018,705224,Formación ROBOTIX 1 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,720,12.00,732,14002
5/22/2018,705228,Formación ROBOTIX 3 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,720,7.00,455,14002
2/27/2018,705229,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,259,7.00,455,14002
2/27/2018,705220,Inscripción ROBOTIX CM,6,AMPA SAGRADA FAMILIA DE SABADELL,259,1.00,25,14002
2/27/2018,705223,Formación ROBOTIX 1 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,259,12.00,504,14002
2/27/2018,705227,Formación ROBOTIX 3 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,259,9.00,378,14002
7/5/2018,9689,Simple Machines Set,11,BELL-LLOC DEL PLA,1011,30.00,0,14110
7/5/2018,2000707,LE Replacement Pack Rubber Bands,11,BELL-LLOC DEL PLA,1011,5.00,0,14110
