FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Oferta),BASEMONEDA (importe),Unidades,CENTROCOSTE3
11/20/2018,45300,LEGO® Education WeDo 2.0 Core Set,771,ESCOLA ÀNGEL BAIXERAS,1504,857.88,6.00,14110
11/20/2018,1LA45300,Certificació Bàsica LEGO Education WeDo 2.0,771,ESCOLA ÀNGEL BAIXERAS,1504,190.00,2.00,14120
1/25/2018,9686,Simple & Powered Machines Set,786,SAGRADO CORAZÓN HERMANOS CORAZONISTAS,111,"4,124.75",25.00,14110
6/1/2018,45300,LEGO® Education WeDo 2.0 Core Set,905,CEIP Joaquín Costa,517,857.88,6.00,14110
9/25/2018,9998,Garantía anual - No question,918,COLEGIO BILINGUE DE CASTILLEJA SL - YAGO SCHOOL,1119,899.04,1.00,14110
4/26/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,947,ESCOLA LA POPA,396,"1,109.97",3.00,14110
4/26/2018,45517,Transformer 10V DC,947,ESCOLA LA POPA,396,31.99,1.00,14110
3/5/2018,45300,LEGO® Education WeDo 2.0 Core Set,965,Col·legi Sant Gervasi,254,"1,143.92",8.00,14110
3/5/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,965,Col·legi Sant Gervasi,255,"1,849.95",5.00,14110
3/5/2018,45517,Transformer 10V DC,965,Col·legi Sant Gervasi,255,95.97,3.00,14110
4/16/2018,8883,Power Functions M-Motor,971,EL CARME VEDRUNA MANLLEU,362,44.95,5.00,14110
9/18/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,971,EL CARME VEDRUNA MANLLEU,1063,369.99,1.00,14110
9/18/2018,9689,Simple Machines Set,971,EL CARME VEDRUNA MANLLEU,1063,549.90,10.00,14110
2/23/2018,705001,SERVICIOS PRESTADOS,1011,"Institució Escolar Turbula, S.L.",237,540.00,1.00,14110
11/23/2018,9689,Simple Machines Set,1011,"Institució Escolar Turbula, S.L.",1537,439.92,8.00,14110
11/23/2018,45300,LEGO® Education WeDo 2.0 Core Set,1011,"Institució Escolar Turbula, S.L.",1537,142.98,1.00,14110
5/8/2018,2000700,LE Replacement Pack LME 1,1068,COLSANT LLUIS S.L.,417,6.69,1.00,14110
5/8/2018,2000715,LE Replacement Pack LE WeDo 2.0,1068,COLSANT LLUIS S.L.,417,6.69,1.00,14110
5/8/2018,628004,GASTOS DE ENVIO,1068,COLSANT LLUIS S.L.,417,6.05,1.00,14110
5/17/2018,1LA45544ONL,Certificación Básica LEGO MINDSTORMS Education EV3,1077,EDUCAHUMANES S.A.,474,600.00,4.00,14120
9/25/2018,1LA45300ONL,Certificació Bàsica LEGO Education WeDo 2.0 Online,1089,SANTA MARÍA MARIANISTAS,1124,95.00,1.00,14120
2/8/2018,10698,LEGO Classic - Caja Ladrillos Creativos Grande LEGO,1124,SPACIOS EDUCATIVOS CAR S.A.,194,98.98,2.00,14110
6/4/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,1186,COLEGIO PÚBLICO RIOTURBIO,523,"1,479.96",4.00,14110
6/4/2018,45517,Transformer 10V DC,1186,COLEGIO PÚBLICO RIOTURBIO,523,63.98,2.00,14110
6/6/2018,245544,LEGO® MINDSTORMS Education EV3 Core Set + transformador,1186,COLEGIO PÚBLICO RIOTURBIO,536,369.99,1.00,14110
1/16/2018,45024,STEAM Park,1402,CEIP Nuestra Señora del Castillo,54,149.99,1.00,14110
1/16/2018,9656,Early Simple Machines Set,1402,CEIP Nuestra Señora del Castillo,54,146.99,1.00,14110
3/14/2018,45024,STEAM Park,1402,CEIP Nuestra Señora del Castillo,298,449.97,3.00,14110
3/14/2018,45008,Math Train,1402,CEIP Nuestra Señora del Castillo,298,284.97,3.00,14110
3/14/2018,9230,Town Set,1402,CEIP Nuestra Señora del Castillo,298,219.98,2.00,14110
3/14/2018,9076,Tubes Experiment Set,1402,CEIP Nuestra Señora del Castillo,298,335.97,3.00,14110
3/14/2018,9656,Early Simple Machines Set,1402,CEIP Nuestra Señora del Castillo,298,454.47,3.00,14110
3/14/2018,9686,Simple & Powered Machines Set,1402,CEIP Nuestra Señora del Castillo,298,989.94,6.00,14110
3/14/2018,9689,Simple Machines Set,1402,CEIP Nuestra Señora del Castillo,298,329.94,6.00,14110
9/26/2018,45024,STEAM Park,1402,CEIP Nuestra Señora del Castillo,1136,299.98,2.00,14110
9/26/2018,9656,Early Simple Machines Set,1402,CEIP Nuestra Señora del Castillo,1136,302.98,2.00,14110
9/26/2018,9076,Tubes Experiment Set,1402,CEIP Nuestra Señora del Castillo,1136,223.98,2.00,14110
1/17/2018,45300,LEGO® Education WeDo 2.0 Core Set,1407,CP SANTACATALINA DE SALAMANCA MEC,65,245.00,2.00,14110
1/26/2018,9686,Simple & Powered Machines Set,1428,LA SALLE GIRONA,117,824.95,5.00,14110
1/26/2018,9688,Renewable Energy Add-on Set,1428,LA SALLE GIRONA,117,604.95,5.00,14110
12/4/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,1428,LA SALLE GIRONA,1620,"1,479.96",4.00,14110
12/4/2018,45560,LEGO® MINDSTORMS® Education EV3 Expansio,1428,LA SALLE GIRONA,1620,108.99,1.00,14110
12/4/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,1428,LA SALLE GIRONA,1621,"1,109.97",3.00,14110
12/4/2018,45500,EV3 Intelligent Brick,1428,LA SALLE GIRONA,1621,211.99,1.00,14110
12/4/2018,45560,LEGO® MINDSTORMS® Education EV3 Expansio,1428,LA SALLE GIRONA,1621,108.99,1.00,14110
10/8/2018,45300,LEGO® Education WeDo 2.0 Core Set,1461,CEIP Miguel Hernández Laguna de Duero,1253,"2,573.64",18.00,14110
11/29/2018,45517,Transformer 10V DC,1465,FUNDACIO PRIVADA SANT GERVASI,1578,25.00,1.00,14110
11/29/2018,45302,Smarthub Rechargeable Battery,1465,FUNDACIO PRIVADA SANT GERVASI,1578,44.86,1.00,14110
11/29/2018,45300,LEGO® Education WeDo 2.0 Core Set,1465,FUNDACIO PRIVADA SANT GERVASI,1578,129.88,1.00,14110
11/29/2018,628004,GASTOS DE ENVIO,1465,FUNDACIO PRIVADA SANT GERVASI,1578,5.37,1.00,14110
3/6/2018,1LA45300,Certificació Bàsica LEGO Education WeDo 2.0,1531,AMPA Escola Creu Alta,264,95.00,1.00,14120
3/16/2018,45300,LEGO® Education WeDo 2.0 Core Set,1556,Escola Mas Boadella,309,857.88,6.00,14110
3/16/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,1556,Escola Mas Boadella,309,"2,219.94",6.00,14110
3/16/2018,45517,Transformer 10V DC,1556,Escola Mas Boadella,309,95.97,3.00,14110
3/22/2018,45300,LEGO® Education WeDo 2.0 Core Set,1568,Escola Lledoner,322,857.88,6.00,14110
4/6/2018,9656,Early Simple Machines Set,1583,COL.LEGI SANT MIQUEL ARCANGEL- Manyanet Molins,345,757.45,5.00,14110
4/6/2018,9686,Simple & Powered Machines Set,1583,COL.LEGI SANT MIQUEL ARCANGEL- Manyanet Molins,345,824.95,5.00,14110
4/6/2018,9689,Simple Machines Set,1583,COL.LEGI SANT MIQUEL ARCANGEL- Manyanet Molins,345,274.95,5.00,14110
