Organization,Lat,Lon
Escola FEDAC MANRESA,41.40527540000001,2.1874667
ESCOLA FOLCH I TORRES,41.4231353,2.1967647
ESCOLA GARBÍ PERE VERGÉS,41.9713335,2.8202428
Escola Gravi,41.4071484,2.1647944
ESCOLA JACINT VERDAGUER,41.686918,2.798385
Escola La Farigola del Clot,40.5391406,0.4753155
ESCOLA LA SÍNIA,41.4833062,2.0394466
Escola Laietània,41.5018473,2.3497249
Escola Mare de déu del Roser,41.3877198,1.9434701
Escola Maria Cubí i Soler,41.99125919999999,2.7593762
Escola Paidos,41.9783457,2.7931023
Escola Pau Vila,41.3985868,2.1553288
ESCOLA PEDRALTA,40.4537764,-3.640503899999999
ESCOLA PIA DE CALELLA - INFANTIL Y PRIMARIA,41.4218508,2.1191727
Escola Pia Granollers,41.969029,2.806631
ESCOLA PIA MOIÀ,40.35504299999999,-3.691877
Escola Projecte,41.383901,2.084434
ESCOLA REL,41.3498276,2.1435436
Escola Rosa Sensat,39.4167821,-0.4997963
Escola Segimon Comas,41.5880598,2.1757885
VEDRUNA ARTÉS,41.4992038,2.1654231
FUNDACION ESCUELA SUIZA DE BARCELONA,39.5520854,-0.4589832
Escuelas Francesas,40.4473825,-3.811119999999999
KPMG,41.4379008,2.172324
Inst. Francesc Ribalta,41.370617,2.1646338
Dirección General Telecomunicaciones Junta Andalucia,41.3498276,2.1435436
Ajuntament Castellar del Vallès,41.53414370000001,2.0417887
FUNDACIÓN PRIVADA BENJAMIN FRANKLIN,41.6124996,2.2392369
Gamo Diana,41.47927540000001,2.0909721
Institut Gelida,41.4245392,2.178745
Scuola primaria Maria Montessori,41.480033,2.189521
Escola Roc Llop i Convalia,41.8018983,2.216715
Jacint Verdaguer (Pallejà),37.2611506,-6.0772727
Col·legi Sant Ramon Nonat - Sagrat Cor,41.4547165,2.0550861
Escola Andersen (Vic),40.3894913,-3.693565099999999
Escola Sant Gervasi,41.3493597,2.1131184
Institut escola Costa i Llobera,39.5091588,-0.4517221
Escoles Griselda SCCL,39.45886429999999,-6.3706597
Unit Elements,41.1185547,1.2501117
IES Arca Real,41.9300817,2.2594848
IES Francisco de Goya,40.3228843,-3.879895
El Castellot,37.3156456,-6.8420996
GABARRO,39.98073400000001,-0.031691
INS LLUIS DOMENECH I MONTANER,37.44555709999999,-3.9132666
Institut ABAT OLIBA,41.3430827,1.6998768
Institut Alba del Vallès,41.5515868,2.1049489
Institut Alexandre Deulofeu,41.431847,2.1643657
INSTITUT Andreu Nin,41.3769605,2.1404531
INSTITUT ANTONI CUMELLA,40.39387139999999,-3.6755896
INSTITUT BAIX A MAR,41.8288164,2.8918474
Institut Baix Camp,41.643235,2.739238
INSTITUT BALDIRI GUILERA,41.7088871,2.7291745
INSTITUT BALMES,42.1149609,-1.7891863
Institut Banús,40.367798,-3.765222999999999
INSTITUT CAL·LÍPOLIS,41.480033,2.189521
Institut Campclar,43.3505281,-3.0113645
Institut Camps Blancs,41.4265727,2.1811912
Institut CAN PUIG,41.4133102,2.1597356
iNSTITUT Can Roca,39.5234308,-0.4156806
INSTITUT CAP NORFEU,36.85051139999999,-2.4384395
INSTITUT Caparrella,41.7438735,1.8364677
Institut Carles Vallbona,40.391435,0.405367
INSTITUT CASTELLET,41.2330314,1.7873928
Institut CENDRASSOS,41.3883533,2.1341908
INSTITUT COSTER DE LA TORRE,41.6165999,0.8668389999999999
INSTITUT D'ALMENAR,42.5904234,-2.7931771
INSTITUT D'ALTAFULLA,41.4142356,2.1896022
INSTITUT d'AURO,41.7393739,1.8003595
Institut d'hosteleria i turisme de Barcelona,41.6049259,2.2838313
INSTITUT DE LA ROCA DEL VALLÈS,41.5788358,1.6265532
INSTITUT DE PINEDA DE MAR,41.537479,2.2145625
Institut de Tona,41.56206299999999,2.013871
Institut de Vilanova del Vallès,41.5062353,2.1535564
Institut,41.3747912,2.1037553
INSTITUT EL CAIRAT,41.27894200000001,1.9827117
INSTITUT Els Pallaresos,39.9488282,-3.4955419
INSTITUT Emperador Carles,41.5528032,2.1548082
insTITUT enric borràs,41.3935083,2.178625
INSTITUT ERMENGOL IV,39.4867654,-0.3976107
INSTITUT Ernest LLuch,41.3733741,2.0812769
INSTITUT ESCOLA RAMONA CALVET,42.3542546,1.7014238
INSTITUT ESCOLA SANT JORDI,42.3545531,1.458827
Institut Eugeni d'Ors Vilafranca,40.623263,-3.587720999999999
Institut Eugeni Xammar,41.4323487,2.1783986
InsTITUT Fontanelles,37.987501,-1.111265
INSTITUT FRANCESC MACIÀ,41.3621896,2.0816282
INSTITUT FRANCESC VIDAL I BARRAQUER,41.36216779999999,2.0819904
INSTITUT FREDERIC MARTÍ I CARRERAS,39.9130362,-0.1989985
INSTITUT Gabriel Ferrater i Soler,41.372991,2.1108278
INSTITUT GORGS,41.1541718,1.097894
Institut Guindàvols,41.9561734,2.8193523
INSTITUT ICÀRIA,41.4945454,2.0758609
Institut Isaac Albéniz,41.414127,2.193648
Institut JAUME CALLÍS,41.4924059,2.1403739
INSTITUT JAUME I SALOU,41.378312,2.1285493
INSTITUT JAUME MIMÓ,41.52496110000001,0.3384078
INSTITUT Joan Amigó i Callau,39.305612,-0.414015
INSTITUT JOAN RAMON BENAPRÈS,41.525801,2.1267175
INSTITUT JOAN SALVAT I PAPASSEIT,41.4219178,2.1864738
INSTITUT Joaquim Rubió i Ors,41.4228978,2.1906875
INSTITUT JOSEP PUIG I CADAFALCH,41.4326207,2.2204071
INSTITUT Josep Tapiró,41.3757853,2.1026333
Institut Julio Antonio,41.41644369999999,2.1014137
INSTITUT L'ESTATUT,39.5613087,2.6240111
INSTITUT LA BASTIDA,41.1837686,1.2078084
INSTITUT La Ferreria,41.7229559,-1.0246588
INSTITUT La Guineueta,41.375326,2.135737
Institut La llauna,41.247523,1.80253
Institut La Mallola,41.290712,1.616899
INSTITUT La Mar de la Frau,41.371434,2.108296
Institut la Pineda,40.2471106,-3.8197908
Institut La Sedeta,40.4041948,-3.6715894
Institut La Serra,40.3940205,-3.6970423
INSTITUT LA VALLALTA,40.3844194,-3.716969
INSTITUT LACETÀNIA,40.33827369999999,-3.856610299999999
INSTITUT LEONARDO DA VINCI,41.46073140000001,2.2436563
Institut les Aimerigues,41.3199934,2.0057425
INSTITUT Lluís de Requesens,40.431722,-3.6318267
INSTITUT LLUÍS DOMÈNECH i MONTANER,41.2526573,1.5545741
INSTITUT Manolo Hugué,41.5589229,2.0981899
INSTITUT Manuel de Montsuar,40.4068676,-3.702133
INSTITUT Manuel de Pedrolo,41.56325770000001,1.9968977
INSTITUT MARIA AURÈLIA CAPMANY,41.5899838,2.58194
Institut Marianao,41.7859766,1.0990966
