Cód. cliente,Lat,Lon
574.0,39.46409360000001,-0.3845838
575.0,43.2858087,-2.8974964
576.0,43.26506089999999,-2.9357676
578.0,41.95723,2.637971
580.0,41.549491,2.400437
581.0,28.3185902,-16.4160921
583.0,43.3552506,-3.0050628
585.0,41.082092,1.134005
586.0,43.3063249,-1.9767264
587.0,40.470233,-3.940025
588.0,41.67831,2.780665
590.0,37.6521555,-1.0181199
591.0,42.1360545,1.9923352
592.0,40.42672659999999,-3.8457925
593.0,28.14735,-15.5329287
594.0,43.2396008,-2.8777027
595.0,41.627769,0.8929727000000001
597.0,36.5998948,-6.2459042
598.0,43.3451802,-4.0388918
599.0,28.4703391,-16.2625256
602.0,38.020348,-1.164314
604.0,40.448148,-3.675616
608.0,39.4772869,-0.3664211
610.0,41.4736401,1.9298836
612.0,40.63838399999999,-3.99676
614.0,41.546486,2.100742
617.0,40.4563733,-3.6952896
618.0,41.5409443,2.4348212
619.0,41.6313965,1.005455
620.0,40.4570185,-3.6750005
623.0,41.5399791,2.2099201
624.0,41.5476631,2.1018266
627.0,43.3703937,-8.3913105
630.0,28.1236845,-16.7387964
632.0,28.3790137,-16.5840278
633.0,42.0099561,2.0293933
634.0,39.982061,-0.022766
635.0,41.5795979,2.0307546
636.0,41.3459989,2.0221746
637.0,41.6055029,0.6158644999999999
641.0,40.4072602,-3.6395141
644.0,37.7568871,-1.4822521
646.0,40.4164428,-3.6729998
648.0,40.4353896,-3.693819699999999
649.0,41.5942004,1.9783666
654.0,41.4126001,2.0281443
656.0,42.3240601,-3.7130493
657.0,41.2886688,1.2556853
659.0,41.0833959,1.1312432
661.0,41.49316779999999,2.0354814
662.0,41.5843622,1.6250459
665.0,40.497018,-3.704398
666.0,41.6340866,-0.9055519999999999
668.0,41.581551,1.60944
671.0,41.530646,2.120093
672.0,42.04775619999999,2.265303
674.0,36.1082568,-5.4369464
675.0,41.34824529999999,2.0249835
677.0,39.19133,-0.43738
680.0,41.479237,-1.373586
681.0,41.9806335,2.8107727
683.0,41.950992,2.816394
687.0,42.8442359,-8.6420976
688.0,41.5748949,2.2390323
689.0,43.3944983,-5.658941400000001
691.0,39.8680945,-4.0210189
693.0,37.3890129,-5.7141879
694.0,42.3369238,-3.7105519
